x_origin,y_origin,x_velocity,y_velocity
0.0,0.0,0,0
0.0,0.10294556604732455,0,0
0.0,0.0,0,0
-0.02896340878822233,0.09878719815932825,0,0
0.0,0.0,0,0
-0.05054317288928444,0.08968376242714153,0,0
0.0,0.0,0,0
-0.0855479408949703,0.057265516477499175,0,0
0.0,0.0,0,0
-0.09491410611536713,-0.03986354260630746,0,0
0.0,0.0,0,0
-0.10129095127351789,-0.018382947503321846,0,0
0.0,0.0,0,0
-0.09327027500834148,-0.043571152941738994,0,0
0.0,0.0,0,0
-0.03773295996894698,-0.09578106963688549,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0764117348767901,-0.06898576912612629,0,0
0.0,0.0,0,0
0.10285819733819208,-0.004240378419621784,0,0
0.0,0.0,0,0
0.07530062207101978,0.0701969079413154,0,0
0.0,0.0,0,0
0.01932164871967732,0.10111608902423715,0,0
0.0,0.0,0,0
0.04824264540617162,0.09094194155074131,0,0
0.0,0.0,0,0
0.10071152218932544,-0.02133023363943936,0,0
0.0,0.0,0,0
0.07898585136642457,-0.06602291157412817,0,0
0.0,0.0,0,0
0.10258600451265901,0.008596583445344303,0,0
0.0,0.0,0,0
0.06559426322920935,0.07934218424155749,0,0
0.06559426322920935,0.07934218424155749,0,0
0.0,0.0,0,0
0.02631155833833726,0.09952633554297242,0,0
0.0,0.0,0,0
0.06324728342827006,0.08122543141004629,0,0
0.0,0.0,0,0
0.09254223005105158,0.04509684274960173,0,0
0.0,0.0,0,0
0.10293274348911824,-0.001624772786407014,0,0
0.0,0.0,0,0
0.07740318949547152,-0.0678714654676926,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.10126377655347266,-0.01853205673778343,0,0
0.0,0.0,0,0
0.10262838141751814,0.008074954886838664,0,0
0.0,0.0,0,0
0.08561763248225031,0.05716126815369283,0,0
0.0,0.0,0,0
0.032305585610610595,0.09774527460271198,0,0
